id,admissions,entry_gender,perc_free_meals,perc_girls,perc_sec_lang,avg_score
418,comprehensive,mixed,61.3,45.1,55.4,48.1
419,comprehensive,mixed,60,36.6,65.4,48.2
420,comprehensive,mixed,27.1,45.2,45.3,49
421,comprehensive,mixed,17.6,47.7,29,54.6
422,comprehensive,girls,21.2,99.3,42.2,54.2
423,comprehensive,mixed,27.2,44.6,76,43.1
424,comprehensive,mixed,24.3,43.5,76.7,46.1
425,comprehensive,mixed,19,45.8,64.2,42.3
426,comprehensive,mixed,11.7,35.1,31.3,29.7
427,comprehensive,mixed,24.4,46.2,61.1,49.5
428,comprehensive,girls,20.1,100,70.3,56.4
429,comprehensive,mixed,13.3,41.9,82,52.2
430,comprehensive,mixed,15.1,38.5,76.4,45.6
431,comprehensive,mixed,19.8,43,61.9,53.3
432,comprehensive,mixed,9.1,45.7,42.6,56.6
433,comprehensive,mixed,9.8,47.2,69.3,51.9
434,comprehensive,mixed,14,48.4,62.7,50
435,comprehensive,girls,8.1,100,29.1,60.9
436,comprehensive,boys,10.1,0,33.9,56.6
437,comprehensive,mixed,14.8,47.1,65,55.4
438,comprehensive,mixed,6.8,47.6,5.5,49.6
439,comprehensive,mixed,15.6,44.2,12.4,43.5
440,comprehensive,mixed,19.9,50.9,17.1,44
441,comprehensive,mixed,21,51.1,15.1,47.7
442,comprehensive,boys,2.8,7.3,8.4,54.5
443,comprehensive,mixed,13.1,48.8,15.4,48
444,comprehensive,mixed,0.9,49.8,4.5,59.7
445,comprehensive,mixed,27.1,52.1,19.3,45.6
446,comprehensive,mixed,6.9,38.9,4.9,47.2
447,comprehensive,girls,9,100,16.1,51.9
448,comprehensive,mixed,8.9,43.3,11.8,50
449,comprehensive,mixed,5.9,44.2,3.6,52.4
450,comprehensive,mixed,10.7,45.2,8.7,49.1
451,comprehensive,mixed,10.1,47.8,5,55.8
452,comprehensive,boys,15.2,0,16.3,45.7
453,comprehensive,girls,4.4,100,9.1,57.6
454,comprehensive,mixed,8.7,46.4,10.6,51.8
455,comprehensive,mixed,14.3,50,11.9,50.8
456,comprehensive,boys,12.7,0.6,45,45.8
457,comprehensive,mixed,15.2,46.5,70.7,46.5
458,comprehensive,mixed,2.2,51.5,8.1,59.1
459,comprehensive,mixed,11.9,47.7,31.8,53.2
460,comprehensive,mixed,17.3,37.3,71.1,55.2
461,comprehensive,mixed,12.4,47,40.5,53.1
462,comprehensive,mixed,5,47.1,93.2,57.5
463,comprehensive,mixed,12.1,38.4,12,40.7
464,comprehensive,mixed,21.4,49.5,76.3,47.4
465,comprehensive,mixed,5.8,50,25.8,55.4
466,comprehensive,mixed,29.7,15.2,6.5,50.9
467,comprehensive,mixed,31,42,59.4,49.9
468,comprehensive,mixed,14.6,49.6,34.6,54.4
469,comprehensive,mixed,29.2,37.9,27.2,29.4
470,comprehensive,mixed,17.4,48.8,32.9,57.6
471,comprehensive,mixed,23,40.9,70.1,50.3
472,comprehensive,mixed,8.2,51,19.7,56
473,comprehensive,mixed,37.6,46.1,26.8,43.3
474,comprehensive,girls,27,96.5,43.7,53.7
475,comprehensive,mixed,17.9,40.1,50.6,46.2
476,comprehensive,mixed,4.1,47.6,20.6,58.4
477,comprehensive,girls,25.2,99.7,45.3,48.7
478,comprehensive,mixed,21.4,40.9,45.8,50.3
479,comprehensive,mixed,15.8,46.2,86.3,52.5
480,comprehensive,mixed,17.8,46.2,39,44.8
481,comprehensive,girls,11.3,99.8,56.8,59
482,comprehensive,girls,7.6,100,35.1,60.1
483,comprehensive,boys,10.8,3.3,21.6,62.1
484,comprehensive,mixed,16.1,49.7,72.2,57.8
485,comprehensive,mixed,15,49.7,60.8,53.6
486,comprehensive,boys,16.8,0.6,60.7,51.4
487,comprehensive,mixed,15.8,46.4,70.7,45
488,comprehensive,mixed,15.9,45.8,65.5,54.6
489,comprehensive,mixed,21.6,49.9,43,50.7
490,comprehensive,mixed,4.8,46.1,47.1,61.1
491,comprehensive,mixed,17.4,45.2,12.7,51.1
492,comprehensive,boys,8.9,3.9,33.5,50.4
493,comprehensive,girls,8.7,93.5,33.4,60.9
494,comprehensive,mixed,10,36.4,27.7,57.1
495,comprehensive,girls,6.6,100,30.6,59.1
496,comprehensive,boys,6.4,2.8,13.5,58.7
497,comprehensive,boys,11.2,0.8,44.2,51.8
498,selective,girls,1.2,100,40.3,77.6
499,selective,boys,2.2,0,32.7,74.9
500,comprehensive,girls,7.6,98,31,54.4
501,comprehensive,mixed,19.1,42.4,25.3,54.2
502,comprehensive,mixed,30.3,50.9,43.5,49
503,comprehensive,mixed,22.7,45,29.1,47.2
504,comprehensive,girls,16.3,100,47.8,54.6
505,comprehensive,boys,12.9,0,48.9,55.7
506,comprehensive,mixed,27.8,43.9,44.8,43.4
507,comprehensive,girls,8.9,100,29.5,62.6
508,comprehensive,boys,9.5,0,23.2,55
509,comprehensive,mixed,54.2,51.6,76,58.2
510,comprehensive,mixed,19.2,48.4,52.8,54.3
511,comprehensive,mixed,34.7,47.9,61.2,46.9
512,comprehensive,mixed,20.2,55.3,66.7,43.5
513,comprehensive,mixed,18.4,32.9,80.6,54.7
514,comprehensive,mixed,23.1,47.9,57.5,49.9
